Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.892933619,13.78910776,16.36998255,13.7399679,8.053892216,8.070175439,8.827856793,5.691788526,4.915188897,5.06163616,5.133435322,4.856230032,4.484645789,4.264280798,4.337210789,4.443622921,4.130460802,3.950042855,3.817116524,3.826475596,4.236423556,3.832113646,4.366876885,4.262152549,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.367353987,4.016530166,3.812318607,4.167724935,4.494557553,4.582870803,4.053487743,4.071172985,3.835757397,4.027040715,4.234561908,3.810541242,3.544123528,3.04700724,2.98313407,2.766766807,2.522305175,2.407411509,2.408657949,2.293896237,2.284660221,2.538233122,2.486785889,2.758356791,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.578662042,4.190144632,3.751970861,3.437062443,2.905687281,3.18184952,3.115420012,3.098637501,3.107436707,3.226065307,2.997271474,2.984868799,2.925910226,2.910885628,2.878645343,2.838646349,2.889136697,2.940638942,2.919325764,2.864536343,2.865369817,2.96027108,2.738954869,2.689863374,2.693846004,2.711211745,2.80913157,2.821379287,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.22224178,17.6706199,14.36193223,13.43930284,14.38094485,15.68639141,14.93626645,15.04591251,15.39759271,14.99102277,14.36219103,15.32119808,16.9727432,18.33074016,14.95281425,17.18366643,19.22026865,10.90962441,9.107965302,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64210384,3.519203169,3.488035733,3.465595484,3.29377876,3.158768534,2.936257422,2.87960014,2.835966829,2.890419681,2.902823674,2.869541328,2.766243222,2.900180632,2.834105742,2.734654791,2.686367446,2.559426688,2.764396981,2.636034502,2.687926355,2.38816149,2.467870332,2.327739236,2.332529023,2.198579585,2.081356552,2.038311209,2.187022521,2.240161544,2.307333345,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.641651574,5.864225856,5.789929839,7.085468441,7.712845074,6.683058376,4.018959011,4.026400576,5.061802136,4.229254054,3.856830449,3.827371373,4.107899999,4.225192533,3.780833111,3.246661528,3.458436363,3.781233198,3.793063514,3.806950153,3.873455586,4.138870083,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.682615406,4.356299295,7.450020083,7.63411561,10.1321729,9.98956008,10.97405635,11.9647987,12.81751755,11.75622631,12.01711201,12.22568753,10.79418308,10.0963136,10.67413058,10.45514415,9.162905981,8.795523344,7.970413142,9.034177749,9.444183266,10.78104473,10.24519103,13.3879747,13.66434288,13.68705372,15.32440606,15.35567508,13.81241107,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.90556849,13.5849542,15.64463778,13.04252261,12.84572302,13.84796916,13.59148068,12.81875493,12.2116823,11.55074758,10.70846707,10.88628354,10.70457825,10.57496855,10.43666913,9.962310232,9.892230179,9.674903786,7.932072521,7.664687437,7.201327528,6.548403398,6.395450168,6.476898341,6.481297372,6.142217249,6.113349813,5.849622974,,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.54004144,11.20271672,12.01804448,13.69271121,12.28614009,11.13933475,10.72033112,10.36655781,10.19920846,10.30573857,10.24805438,10.23842203,9.647052338,8.974616818,9.478879483,9.135411166,8.620516948,9.02450754,9.34666294,9.955668005,10.8685345,9.504142814,9.927208731,8.862794525,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.187328792,5.017433923,5.411111349,5.287552124,5.423295675,5.001356888,4.897760764,5.831194285,6.143828288,6.272917159,5.733936452,5.716815784,5.299229474,5.660349752,5.843175721,5.711650359,5.730050381,5.940461867,6.273451926,6.464529187,5.842623773,5.58378936,5.521419899,5.29731592,5.254329238,5.535516823,5.729628829,5.69856088,5.623533127,5.549494349,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.62228002,10.31098399,10.16916541,9.925916774,9.679636702,9.760490445,9.693520999,8.785089098,8.48477969,8.599872238,8.589528514,8.788239712,9.100843264,9.300597893,9.668447212,10.31895845,10.72833263,9.643118721,9.827571507,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21819188,6.042686185,5.697762208,5.329827464,4.899744635,4.602616359,4.485957214,4.139578265,4.218735704,4.267212991,4.283934838,4.27979439,4.461136351,4.39106152,4.381132774,4.317188312,4.3094781,4.297533652,4.30476181,4.255646284,4.205494966,4.073996775,4.037463663,4.052558785,4.151425757,4.109382305,4.02912391,4.018426221,4.082751664,4.045338097,4.024553084,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.844559585,8.013004399,8.789853796,9.697933227,6.494076349,6.254408653,7.76228017,8.196721311,11.21906786,9.475510476,10.74324324,9.568896052,10.64607883,7.563990625,9.456574478,8.680512374,7.841802493,7.31699158,6.575395967,6.283585893,6.592999645,6.521017125,6.454631231,6.371747769,
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.60178083,10.37041443,9.554096611,8.954877317,7.545411186,7.612186295,6.671410099,6.249267051,6.228021888,6.013473778,5.344905377,4.650594104,4.73653318,5.227304324,5.091340831,4.417631313,4.138946691,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.46833614,5.305056173,4.951421747,4.690981581,4.386672485,4.162159334,4.067877155,3.71669914,3.822819406,3.824993651,3.775330936,3.794500644,3.821186137,3.664160398,3.606620827,3.583129778,3.594279317,3.508652736,3.436447345,3.384746108,3.363438598,3.284548497,3.160499814,3.097704832,3.058371785,2.947429071,2.89166477,2.91546572,2.999465883,3.081587511,3.093033258,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00380228,32.61710037,31.09362389,38.29509494,25.48011249,47.72491989,41.88476746,44.03411345,32.0612766,33.04648241,31.13802051,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.133594511,5.606502109,5.315244405,4.753091809,4.430932017,4.105971099,4.229487974,4.210138095,4.098742891,4.027869666,4.081455707,4.395323067,4.405396543,4.246158364,3.771132382,3.711097598,3.688930971,3.607964728,3.563780303,3.475649162,3.303150489,2.940309958,3.01753237,2.887941507,2.934783087,2.778935903,2.781979442,2.896786817,2.683963953,2.990632176,3.093083601,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.352473498,2.241912799,2.872405372,2.715365239,3.148249204,3.783073497,4.288052373,4.617028856,4.954308094,4.95049505,5.589234387,5.532055519,5.861321777,5.265001523,4.797359533,4.204964777,4.488618147,4.823379203,4.958791209,5.080953008,5.106902871,5.250262513,5.17949827,5.125696958,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.01164929,28.22313329,30.77163416,22.58403795,17.01783591,15.69745162,11.45475049,9.008002867,7.879144595,15.09833283,28.80473164,36.16539407,29.53037709,19.2335197,14.84201691,12.07913306,13.27337418,12.06454501,10.27121191,9.079661446,7.943088564,6.923529615,6.133034275,5.983661558,5.215927084,4.541704292,4.395003019,4.071486697,3.816043832,3.676537503,3.853657022,
European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.255230758,6.068663046,5.704506769,5.337102465,4.892496725,4.604477339,4.481267059,4.121193697,4.2022334,4.23262594,4.192202678,4.199179381,4.224693251,4.095072676,4.050120392,3.997165865,3.969850432,3.876814531,3.801750624,3.76589861,3.667128973,3.550662911,3.443056452,3.376129681,3.332677213,3.220209003,3.177050569,3.214101845,3.240350669,3.28796429,3.318009662,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.27890402,,,,,,11.17571113,9.652519098,8.88428706,9.042533165,9.030466289,7.838692439,,,,,9.056184059,8.881161949,13.69542568,10.72656695,11.04416036,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15285703,3.170379948,3.215111256,3.088826989,3.033359193,2.847758674,2.736397815,2.372089875,2.61878416,2.794949362,2.848963219,2.450551706,2.642334854,2.472701708,2.430583158,2.993634679,3.045662778,2.977544172,2.988710315,2.758349017,2.890481086,2.861555171,2.739627271,2.754375806,2.733077451,2.679617295,2.515933969,2.559306607,2.555741314,2.530482505,2.649130361,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.127329193,7.027027027,7.011379801,7.021582734,5.398126464,4.690451207,4.701570681,4.885416667,7.067357513,6.91026827,5.652173913,5.75732899,6.609616952,5.673151751,6.477508651,8.793352601,6.210909091,6.296296296,5.828812538,5.549898167,5.286783042,5.107398568,3.262115529,3.040909091,3.162831858,2.894265563,2.710341123,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.997012377,6.963511048,6.693487315,6.562444167,6.122394082,5.832038065,5.829945694,5.443911936,5.265240797,5.213617021,5.03312369,4.95185135,4.805813801,4.674670019,4.614219253,4.683319903,4.72809835,4.520773563,4.447093737,4.338363547,4.243619927,4.350411132,4.109955947,4.010615345,3.91692514,3.879993397,3.898170732,3.996316169,4.113736516,4.160726014,4.096910623,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.334636956,6.445375443,6.932379886,7.851054284,7.728101763,6.012642957,6.068761474,,,,8.105524058,6.7266617,6.763386266,4.626003849,4.819175542,5.325159858,6.625616849,10.00006368,9.169461657,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.17578991,9.94989454,9.42880542,9.508014762,8.466623664,7.870250129,7.480757933,6.840561574,6.894360641,6.639033857,6.567774732,6.460305263,6.328852626,6.275168043,6.291443869,6.24233312,5.955880719,5.724453612,5.616818498,5.633384181,5.581220262,5.486690792,5.324996175,5.293633806,5.051200172,4.982445398,4.807096877,4.687556093,4.660204134,4.599784045,4.623941737,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.69630643,5.565302144,5.850409836,4.548611111,3.539486204,4.280762565,6.089795918,6.462316384,7.088760504,15.02877614,22.40348692,32.21858828,26.08249077,15.65595404,11.80373287,11.16504506,10.50007847,9.483862106,8.408425328,7.289008043,7.336516522,6.851209104,6.61443299,
