Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,13200,,,,8000,8000,8000,8000,8000,8000,16200,16200,15400,15400,15400,15400,21900,25900,17000,,,10000,10000,10000,9800,9800,9800,9800,9800,9800,9800,9800,10000,,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,,14000,14000,14000,10000,10000,10000,19300,20400,20230,20740,20480,20700,15900,13600,13400,9640,13640,13640,14640,15000,14023,14023,12510,12510,13060,15980,16430,16930,17000,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,161500,,,,297000,297000,297000,175000,175000,140000,124000,119000,79000,79000,91500,84500,72500,72500,72500,75000,76000,76000,76000,76000,75500,75500,75500,75500,75500,75500,75500,75500,76000,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,14000,10000,10000,10000,,,14000,14000,10500,10620,10750,10800,10800,10100,10100,11000,10750,10750,10750,10750,10750,12750,12750,12750,12750,12750,12750,15750,16000,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107000,90000,92000,75600,67300,64700,59600,63300,59200,55000,62600,27000,28000,26000,27000,27000,26541,28521,26750,26750,24100,24800,25050,23200,23000,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,478000,,,,503000,545000,457000,442000,398000,362000,365000,383500,347100,333500,331000,221100,308400,296000,284500,284000,285000,246000,244000,244000,251465,251465,196000,186450,181550,178600,177300,179100,180000,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,4000,4000,3000,8000,8000,8000,12600,12600,12600,12600,12600,12600,12600,12300,12300,11000,13000,,12000,13000,12950,12950,12950,12950,12950,12950,12950,13100,13000,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,29600,,,,31000,31000,30000,28000,27000,28000,33100,32900,32900,32100,27000,21800,21400,22700,22800,21000,21000,30000,30000,30000,18707,18628,16450,17200,17200,17200,16600,16100,15000,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,22200,,,,21000,21000,21000,22000,22000,22000,39500,39500,39500,39500,39500,39500,39500,39500,39500,39000,40000,65000,65000,40000,39500,39500,39500,61000,61000,71050,71050,71050,71000,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,170000,,,,126000,126000,126000,126000,126000,126000,162900,164900,270200,268200,303200,305200,305200,317900,308700,318000,319000,334000,334000,334000,334200,317200,317200,317200,317200,317200,317200,317200,317000,,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,6816800,,,,7380000,6993000,6727000,6506000,6259000,5982000,8020900,7986800,7487950,7702150,7682850,7793600,7583200,7634400,7681800,7152250,7656000,7535000,6815000,6817000,6978442,7005442,7154930,7180730,7181030,7181030,7031030,6974730,6967000,,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,6304100,,,,6848000,6743000,6803000,6736000,6706000,6660000,9601650,9985150,10238850,10229710,10306430,10471200,9947600,10097700,10090000,10119520,10785270,10286800,10542400,10535400,10675580,10577580,10456015,10555650,10535853,10626120,10589970,10821100,10835000,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,8243700,,,,8822000,8402000,8236000,7997000,7832000,7526000,9457800,9448270,9069700,9293400,9272080,9364600,9144600,9200800,9182800,8650250,9178000,9022000,8296000,8298000,8428299,8455299,8603966,8628630,8629430,8527430,8380930,8322570,8192000,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3834000,3311000,3363000,4277400,4172200,4376880,4256050,3998410,3854700,3622600,3518900,3443900,3344500,3363500,3162500,3189500,3189500,3201997,3138967,2996674,2990180,2786580,2910580,3064850,3053700,3038000,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6967000,6408000,6422000,7695500,7475750,7516170,7323890,6962430,6585200,6287200,6147500,5983200,5707612,5885362,5446492,5419492,5416592,5282679,5242719,5014014,5032780,4797650,4906450,5042650,5034020,4990000,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,42500,,,,46000,53000,53000,57000,57000,57000,57400,57400,57370,57370,57370,57800,59800,59800,59800,46270,47270,57400,58400,58400,58983,58983,58983,58500,58983,40750,40750,40750,41000,,
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,445000,,,,450000,434000,434000,424000,424000,430000,610000,672000,680000,680000,680000,678500,768000,773000,780000,798000,799000,866000,866000,866000,865500,835500,835500,835500,835500,835500,835500,835500,836000,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,2235400,,,,2478000,2449000,2316000,2226000,2152000,2159000,2375100,2364050,2236160,2179920,2083770,1894300,1907500,1926000,1863400,1817512,1836262,1772262,1755262,1750362,1600389,1636093,1563430,1536150,1518650,1493200,1479480,1480450,1445000,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000,55000,55000,55000,46000,47100,200000,200000,171900,172200,202000,201000,202000,,202000,202000,201750,201750,201750,201750,201750,201750,201750,201750,202000,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,320000,,,,277000,263000,246000,198000,204000,213000,281600,282300,273250,269710,262260,241800,214700,251200,224000,220000,220000,222000,222000,223000,222422,223216,215700,215600,213950,200000,199950,197950,196000,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,5000,4000,5500,5500,6300,7140,7600,7600,7300,8100,8100,6000,8000,7000,7000,7000,5450,5750,5750,5750,5750,5750,6400,6400,6000,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,217000,,,,250000,250000,120000,120000,120000,120000,120000,120000,120000,120000,325500,352500,252500,252500,162400,182000,183000,,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,,
